NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,ICU/CCU BEDS
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,20
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,24
BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,"1901 N Macarthur Blvd, Irving, TX 75061",32.835354,-96.961007,DALLAS,9725795409,38
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DR,ROWLETT,TX,75088,"6800 Scenic Dr, Rowlett, TX 75088",32.917635,-96.508664,ROCKWALL,9725208000,14
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,100 MEDICAL PKWY,LAKEWAY,TX,78738,"100 Medical Pkwy, Lakeway, TX 78738",30.332918,-97.971449,TRAVIS,5126545000,22
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,"810 W Sh 71, Marble Falls, TX 78654",30.512921,-98.304593,BURNET,8302018000,8
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 W UNIVERSITY DR,MCKINNEY,TX,75071,"5252 W University Dr, McKinney, TX 75071",33.221085,-96.682581,COLLIN,4697642200,26
BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO,4700 ALLIANCE BLVD,PLANO,TX,75093,"4700 Alliance Blvd, Plano, TX 75093",33.013583,-96.788231,COLLIN,4698143176,32
BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,300 UNIVERSITY BLVD,ROUND ROCK,TX,78665,"300 University Blvd, Round Rock, TX 78665",30.563383,-97.685004,WILLIAMSON,5125090100,33
BAYLOR SCOTT & WHITE MEDICAL CENTER - SUNNYVALE,231 SOUTH COLLINS ROAD,SUNNYVALE,TX,75182,"231 S Collins Rd, Sunnyvale, TX 75182",32.779137,-96.568943,DALLAS,9728923000,8
BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S 31ST ST,TEMPLE,TX,76508,"2401 S 31st St, Temple, TX 76504",31.077709,-97.363854,BELL,2547242111,70
BAYLOR SCOTT & WHITE MEDICAL CENTER - TROPHY CLUB,2850 EAST STATE HWY 114,TROPHY CLUB,TX,76262,"2850 State Hwy 114, Roanoke, TX 76262",32.989084,-97.176016,DENTON,8178374600,1
BAYLOR SCOTT & WHITE MEDICAL CENTER - WAXAHACHIE,2400 N IH 35 E,WAXAHACHIE,TX,75165,"2400 N I-35 E, Waxahachie, TX 75165",32.427936,-96.858089,ELLIS,4698434000,12
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL - FORT WORTH,1800 PARK PLACE AVENUE,FORT WORTH,TX,76110,"1800 Park Place Ave, Fort Worth, TX 76110",32.727086,-97.346892,TARRANT,6827035600,4
BAYLOR ST LUKES MEDICAL CENTER - MCNAIR CAMPUS,7200 CAMBRIDGE STREET,HOUSTON,TX,77030,"7200 Cambridge St, Houston, TX 77030",29.699054,-95.393839,HARRIS,8323541000,50
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVENUE,DALLAS,TX,75246,"3500 Gaston Ave, Dallas, TX 75246",32.790908,-96.779474,DALLAS,2148200111,109
BELLVILLE MEDICAL CENTER,44 NORTH CUMMINGS STREET,BELLVILLE,TX,77418,"44 N Cummings St, Bellville, TX 77418",29.953193,-96.260251,AUSTIN,9794137400,2
BIG BEND REGIONAL MEDICAL CENTER,2600 HIGHWAY 118 NORTH,ALPINE,TX,79830,"2600 N State Highway 118, Alpine, TX 79830",30.384012,-103.67071,BREWSTER,4328373447,2
BROWNFIELD REGIONAL MEDICAL CENTER,705 E FELT ST,BROWNFIELD,TX,79316,"705 E Felt St, Brownfield, TX 79316",33.187643,-102.267155,TERRY,8066373551,4
BSA HOSPITAL LLC,1600 WALLACE BLVD,AMARILLO,TX,79106,"1600 Wallace Blvd, Amarillo, TX 79106",35.196207,-101.919999,POTTER,8062122000,48
CARROLLTON REGIONAL MEDICAL CENTER,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,"4343 N Josey Ln, Carrollton, TX 75010",33.028804,-96.885247,DENTON,9724921010,21
CARRUS SPECIALTY HOSPITAL,1810 US HWY 82 WEST STE 200,SHERMAN,TX,75092,"1810 W Hwy 82, Ste 200, Sherman, TX 75092",33.66982,-96.634834,GRAYSON,9038702600,13
CEDAR PARK REGIONAL MEDICAL CENTER,1401 MEDICAL PARKWAY,CEDAR PARK,TX,78613,"1401 Medical Pkwy, Cedar Park, TX 78613",30.532424,-97.812177,WILLIAMSON,5125287000,12
CHI ST JOSEPH HEALTH - COLLEGE STATION HOSPITAL,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77845,"1604 Rock Prairie Rd, College Station, TX 77845",30.582589,-96.290119,BRAZOS,9797645100,12
CHI ST LUKES HEALTH - BRAZOSPORT,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,"100 Medical Dr, Lake Jackson, TX 77566",29.03185,-95.452534,BRAZORIA,9792974411,8
CHI ST LUKES HEALTH - MEMORIAL LIVINGSTON,1717 HIGHWAY 59 BYPASS,LIVINGSTON,TX,77351,"1717 US Highway 59th Loop N, Livingston, TX 77351",30.729937,-94.938594,POLK,9363298700,8
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,6720 BERTNER,HOUSTON,TX,77030,"6720 Bertner Ave, Houston, TX 77030",29.708712,-95.399962,HARRIS,7137858537,157
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,24
CHILDRENS MEDICAL CENTER OF DALLAS,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,"1935 Medical District Dr, Dallas, TX 75235",32.808994,-96.837745,DALLAS,2144568339,77
CHRISTUS CHILDRENS,333 NORTH SANTA ROSA STREET,SAN ANTONIO,TX,78207,"333 N Santa Rosa St, San Antonio, TX 78207",29.428136,-98.497912,BEXAR,2107042317,79
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,55
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - MARSHALL,811 SOUTH WASHINGTON,MARSHALL,TX,75670,"811 S Washington Ave, Marshall, TX 75670",32.536564,-94.367794,HARRISON,9039276000,9
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75482,"115 Airport Rd, Sulphur Springs, TX 75482",33.157301,-95.599927,HOPKINS,9034394052,10
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,"800 E Dawson St, Tyler, TX 75701",32.342624,-95.291902,SMITH,9035315400,218
CHRISTUS MOTHER FRANCES HOSPITAL - WINNSBORO,719 WEST COKE ROAD,WINNSBORO,TX,75494,"719 W Coke Rd, Winnsboro, TX 75494",32.947569,-95.30615,WOOD,9033425227,4
CHRISTUS SANTA ROSA HOSPITAL - MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,"2827 Babcock Rd, San Antonio, TX 78229",29.512267,-98.589251,BEXAR,2107056021,20
CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,600 NORTH UNION AVENUE,NEW BRAUNFELS,TX,78130,"600 N Union Ave, New Braunfels, TX 78130",29.715466,-98.123258,COMAL,8306062170,10
CHRISTUS SANTA ROSA HOSPITAL - SAN MARCOS,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,"1301 Wonder World Dr, San Marcos, TX 78666",29.85279,-97.945825,HAYS,5123538979,10
CHRISTUS SANTA ROSA HOSPITAL - WESTOVER HILLS,11212 STATE HIGHWAY 151,SAN ANTONIO,TX,78251,"11212 State Hwy 151, San Antonio, TX 78251",29.466852,-98.695949,BEXAR,2107038000,16
CHRISTUS SOUTHEAST TEXAS - JASPER MEMORIAL,1275 MARVIN HANCOCK DR,JASPER,TX,75951,"1275 Marvin Hancock Dr, Jasper, TX 75951",30.907546,-94.008358,JASPER,4093845461,6
CHRISTUS SOUTHEAST TEXAS - ST ELIZABETH,2830 CALDER ST,BEAUMONT,TX,77702,"2830 Calder Ave, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4092367107,46
CHRISTUS SPOHN HOSPITAL ALICE,2500 EAST MAIN STREET,ALICE,TX,78332,"2500 E Main St, Alice, TX 78332",27.764759,-98.044822,JIM WELLS,3616618015,8
CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 EAST HOUSTON HIGHWAY,BEEVILLE,TX,78102,"1500 E Houston St, Beeville, TX 78102",28.407802,-97.73283,BEE,3613542125,8
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,"608 Elizabeth Ave, Kingsville, TX 78363",27.500942,-97.861277,NUECES,3618813148,128
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3619855103,8
CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BOULEVARD,KINGSVILLE,TX,78363,"1311 E General Cavazos Blvd, Kingsville, TX 78363",27.491359,-97.851487,KLEBERG,3615951661,10
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DRIVE,TEXARKANA,TX,75503,"2600 St Michael Dr, Texarkana, TX 75503",33.464014,-94.075579,BOWIE,9036142211,32
CHRISTUS ST MICHAEL HOSPITAL - ATLANTA,1007 SOUTH WILLIAM STREET,ATLANTA,TX,75551,"1007 S William St, Atlanta, TX 75551",33.105544,-94.163783,CASS,9037993000,8
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,"2701 Hospital Dr, Victoria, TX 77901",28.81309,-96.977678,VICTORIA,3615739181,22
COMANCHE COUNTY MEDICAL CENTER,10201 HIGHWAY 16 NORTH,COMANCHE,TX,76442,"10201 Highway 16, Comanche, TX 76442",31.984446,-98.561938,COMANCHE,2548794900,2
CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,"499 10th St, Floresville, TX 78114",29.159486,-98.173761,WILSON,8303931303,4
COOK CHILDRENS MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,"801 7th Ave, Fort Worth, TX 76104",32.736976,-97.341846,TARRANT,6828854326,63
CORNERSTONE SPECIALTY HOSPITALS AUSTIN,4207 BURNET ROAD,AUSTIN,TX,78756,"4207 Burnet Rd, Austin, TX 78756",30.312128,-97.743444,TRAVIS,5127061900,6
CORNERSTONE SPECIALTY HOSPITALS CLEAR LAKE,709 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"709 Medical Center Blvd, Webster, TX 77598",29.537255,-95.129351,HARRIS,2813323322,12
CORNERSTONE SPECIALTY HOSPITALS CONROE,1500 GRAND LAKE DRIVE,CONROE,TX,77304,"1500 Grand Lake Dr, Conroe, TX 77304",30.282192,-95.465705,MONTGOMERY,9365231800,6
CORNERSTONE SPECIALTY HOSPITALS HOUSTON MEDICAL CENTER,1300 BINZ,HOUSTON,TX,77004,"1300 Binz St, Houston, TX 77004",29.724095,-95.387003,HARRIS,7132851000,12
CORNERSTONE SPECIALTY HOSPITALS ROUND ROCK,4681 COLLEGE PARK DRIVE,ROUND ROCK,TX,78665,"4681 College Park Dr, Round Rock, TX 78665",30.566759,-97.657752,WILLIAMSON,5126711100,12
CORPUS CHRISTI MEDICAL CENTER BAY AREA,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 S Padre Island Dr, Corpus Christi, TX 78412",27.69334,-97.341648,NUECES,3617611200,3
CORPUS CHRISTI MEDICAL CENTER DOCTORS REGIONAL,3315 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3315 S Alameda St, Corpus Christi, TX 78411",27.754109,-97.38838,NUECES,3617611400,21
CORYELL MEMORIAL HOSPITAL,1507 WEST MAIN STREET,GATESVILLE,TX,76528,"1507 W Main St, Gatesville, TX 76528",31.435215,-97.779162,CORYELL,2548658251,3
COVENANT CHILDRENS HOSPITAL,4015 22ND PLACE,LUBBOCK,TX,79410,"4015 22nd Pl, Lubbock, TX 79410",33.573954,-101.900299,LUBBOCK,8067257960,30
COVENANT HOSPITAL PLAINVIEW,2601 DIMMIT ROAD,PLAINVIEW,TX,79072,"2601 Dimmitt Rd, Plainview, TX 79072",34.206722,-101.731042,HALE,8062964265,6
COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,"3615 19th St, Lubbock, TX 79410",33.577683,-101.891893,LUBBOCK,8067250000,142
COVENANT SPECIALTY HOSPITAL,3815 20TH STREET,LUBBOCK,TX,79410,"3815 20th St, Lubbock, TX 79410",33.576743,-101.897003,LUBBOCK,8067259200,28
CRESCENT MEDICAL CENTER LANCASTER,2600 WEST PLEASANT RUN ROAD,LANCASTER,TX,75146,"2600 W Pleasant Run Rd, Lancaster, TX 75146",32.602383,-96.812722,DALLAS,4692975321,8
CROCKETT MEDICAL CENTER,1100 E LOOP 304,CROCKETT,TX,75835,"1100 E Loop 304, Crockett, TX 75835",31.324808,-95.438246,HOUSTON,9365463891,5
CUERO REGIONAL HOSPITAL,2550 NORTH ESPLANADE,CUERO,TX,77954,"2550 N Esplanade St, Cuero, TX 77954",29.112742,-97.283053,DE WITT,3612756191,4
DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75234,"7 Medical Pkwy, Dallas, TX 75234",32.915447,-96.870243,DALLAS,9722471000,22
DALLAS REGIONAL MEDICAL CENTER,1011 NORTH GALLOWAY AVE,MESQUITE,TX,75149,"1011 N Galloway Ave, Mesquite, TX 75149",32.778628,-96.60129,DALLAS,2143207787,24
DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,10301 GATEWAY BOULEVARD WEST,EL PASO,TX,79925,"10301 Gateway Blvd W, El Paso, TX 79925",31.756644,-106.351462,EL PASO,9155959000,39
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,AUSTIN,TX,78723,"4900 Mueller Blvd, Austin, TX 78723",30.303505,-97.706219,TRAVIS,5123240101,72
DELL SETON MEDICAL CENTER AT THE UNIVERSITY OF TEXAS,1500 RED RIVER STREET,AUSTIN,TX,78701,"1500 Red River St, Austin, TX 78701",30.276438,-97.734383,TRAVIS,5123247000,30
DETAR HEALTHCARE SYSTEM,506 EAST SAN ANTONIO STREET,VICTORIA,TX,77901,"506 E San Antonio St, Victoria, TX 77901",28.808086,-96.998618,VICTORIA,3615757441,44
DETAR HEALTHCARE SYSTEM,101 MEDICAL DRIVE,VICTORIA,TX,77904,"101 Medical Dr, Victoria, TX 77904",28.854217,-97.019618,VICTORIA,3615736100,6
DHR HEALTH BROWNSVILLE,4750 N EXPRESSWAY 77,BROWNSVILLE,TX,78526,"Brownsville, TX 78526",25.971728,-97.469871,CAMERON,9563627469,3
DOCTORS HOSPITAL AT RENAISSANCE,5501 SOUTH MCCOLL,EDINBURG,TX,78539,"5501 S McColl Rd, Edinburg, TX 78539",26.252805,-98.204995,HIDALGO,9563627360,51
DOCTORS HOSPITAL OF LAREDO,10700 MCPHERSON ROAD,LAREDO,TX,78045,"10700 McPherson Rd, Laredo, TX 78045",27.607033,-99.476413,WEBB,9565232000,24
DRISCOLL CHILDRENS HOSPITAL,3533 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3533 S Alameda St, Corpus Christi, TX 78411",27.74814,-97.384405,NUECES,3616945021,22
EL CAMPO MEMORIAL HOSPITAL,303 SANDY CORNER ROAD,EL CAMPO,TX,77437,"303 Sandy Corner Rd, El Campo, TX 77437",29.218917,-96.290741,WHARTON,9795436251,4
EL PASO CHILDRENS HOSPITAL,4845 ALAMEDA AVE,EL PASO,TX,79905,"4845 Alameda Ave, El Paso, TX 79905",31.771259,-106.433843,EL PASO,9152428600,22
ENNIS REGIONAL MEDICAL CENTER,2201 WEST LAMPASAS STREET,ENNIS,TX,75119,"W Lampasas St, Ennis, TX 75119",32.321645,-96.628593,ELLIS,9728750900,6
FIRST BAPTIST MEDICAL CENTER,8111 MEADOW RD,DALLAS,TX,75231,"8111 Meadow Rd, Dallas, TX 75231",32.888377,-96.766589,DALLAS,4693293700,4
FORT DUNCAN REGIONAL MEDICAL CENTER,3333 NORTH FOSTER MALDONADO,EAGLE PASS,TX,78852,"3333 N Foster Maldonado Blvd, Eagle Pass, TX 78852",28.71316,-100.455385,MAVERICK,8307735321,10
GOLDEN PLAINS COMMUNITY HOSPITAL,100 MEDICAL DRIVE,BORGER,TX,79007,"100 Medical Dr, Borger, TX 79007",35.65535,-101.408888,HUTCHINSON,8064675700,3
GRAHAM HOSPITAL DISTRICT,1301 MONTGOMERY ROAD,GRAHAM,TX,76450,"1301 Montgomery Rd, Graham, TX 76450",33.089763,-98.583961,YOUNG,9405493400,2
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,"1215 E Court St, Seguin, TX 78155",29.567935,-97.947397,GUADALUPE,8303792411,9
HAMILTON HOSPITAL,901 WEST HAMILTON STREET,OLNEY,TX,76374,"901 W Hamilton St, Olney, TX 76374",33.369307,-98.764445,YOUNG,9405645521,7
HARLINGEN MEDICAL CENTER,5501 SOUTH EXPRESSWAY 77,HARLINGEN,TX,78550,"Harlingen, TX 78550",26.255523,-97.667502,CAMERON,9563651000,14
HARRIS HEALTH SYSTEM BEN TAUB HOSPITAL,1504 TAUB LOOP,HOUSTON,TX,77030,"1504 Taub Loop, Houston, TX 77030",29.712675,-95.393774,HARRIS,3464260478,80
HARRIS HEALTH SYSTEM LYNDON B JOHNSON HOSPITAL,5656 KELLEY STREET,HOUSTON,TX,77026,"5656 Kelley St, Houston, TX 77026",29.811429,-95.310943,HARRIS,3464260478,24
HCA HOUSTON HEALTHCARE CLEAR LAKE,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"500 Medical Center Blvd, Webster, TX 77598",29.539812,-95.126216,HARRIS,2813322511,68
HCA HOUSTON HEALTHCARE CONROE,504 MEDICAL CENTER BOULEVARD,CONROE,TX,77304,"504 Medical Center Blvd, Conroe, TX 77304",30.284117,-95.46829,MONTGOMERY,9365391111,38
HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,"22999 US Highway 59 N, Humble, TX 77339",30.05008,-95.254977,MONTGOMERY,2813488001,54
HCA HOUSTON HEALTHCARE MAINLAND,6801 EMMETT F LOWERY EXPRESSWAY,TEXAS CITY,TX,77591,"6801 Emmett F Lowry Expy, Texas City, TX 77591",29.393783,-94.986295,GALVESTON,4099385000,18
HCA HOUSTON HEALTHCARE MEDICAL CENTER,1313 HERMANN DRIVE,HOUSTON,TX,77004,"1313 Hermann Dr, Houston, TX 77004",29.722727,-95.387547,HARRIS,7135275000,26
HCA HOUSTON HEALTHCARE NORTH CYPRESS,21214 NORTHWEST FREEWAY,CYPRESS,TX,77429,"21214 Northwest Fwy, Cypress, TX 77429",29.927665,-95.632202,HARRIS,8329123500,20
HCA HOUSTON HEALTHCARE NORTHWEST,710 CYPRESS CREEK PARKWAY,HOUSTON,TX,77090,"709 Cypress Station Dr, Houston, TX 77090",30.030067,-95.440495,HARRIS,2814401000,48
HCA HOUSTON HEALTHCARE SOUTHEAST,4000 SPENCER HIGHWAY,PASADENA,TX,77504,"4000 Spencer Hwy, Pasadena, TX 77504",29.661171,-95.183755,HARRIS,7133592000,26
HCA HOUSTON HEALTHCARE TOMBALL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,77375,"605 Holderrieth Blvd, Tomball, TX 77375",30.0874,-95.620728,HARRIS,2814017500,20
HCA HOUSTON HEALTHCARE WEST,12141 RICHMOND AVENUE,HOUSTON,TX,77082,"12141 Richmond Ave, Houston, TX 77082",29.729197,-95.594442,HARRIS,2815583444,41
"HEART HOSPITAL OF AUSTIN, A CAMPUS OF ST DAVIDS MEDICAL CENTER",3801 NORTH LAMAR,AUSTIN,TX,78756,"3801 N Lamar Blvd, Austin, TX 78756",30.305918,-97.741119,TRAVIS,5124077000,14
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,35
HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNETT RD,BROWNWOOD,TX,76801,"1501 Burnett Rd, Brownwood, TX 76801",31.678089,-98.99369,BROWN,3256493300,13
HENDRICK MEDICAL CENTER SOUTH,6250 US HIGHWAY 83,ABILENE,TX,79606,"6254 US Hwy 83, Winters, TX 79567",31.908644,-99.966048,TAYLOR,3254281010,20
HEREFORD REGIONAL MEDICAL CENTER,540 WEST 15TH STREET,HEREFORD,TX,79045,"540 W 15th St, Hereford, TX 79045",34.838958,-102.413712,DEAF SMITH,8063642141,2
HOUSTON METHODIST BAYTOWN HOSPITAL,4401 GARTH RD,BAYTOWN,TX,77521,"4401 Garth Rd, Baytown, TX 77521",29.769072,-94.979045,HARRIS,2814208600,44
HOUSTON METHODIST CLEAR LAKE HOSPITAL,18300 HOUSTON METHODIST DR,HOUSTON,TX,77058,"Houston, TX 77058",29.571604,-95.099828,HARRIS,2813338865,14
HOUSTON METHODIST CONTINUING CARE HOSPITAL,701 S FRY RD,KATY,TX,77450,"701 S Fry Rd, Katy, TX 77450",29.777375,-95.718627,HARRIS,8325227550,22
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,214
HOUSTON METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FWY,SUGAR LAND,TX,77479,"16655 Southwest Fwy, Sugar Land, TX 77479",29.588964,-95.631127,FORT BEND,2812747000,40
HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 I-45 SOUTH,THE WOODLANDS,TX,77385,"17201 I-45 S, Shenandoah, TX 77385",30.205188,-95.451727,MONTGOMERY,9362702000,25
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,25
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,32
HUNT REGIONAL HEALTHCARE,4215 JOE RAMSEY BOULEVARD,GREENVILLE,TX,75401,"4215 Joe Ramsey Blvd, Greenville, TX 75401",33.122487,-96.123918,HUNT,9034085000,16
