NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,PEDIATRIC BEDS
COVENANT CHILDRENS HOSPITAL,4015 22ND PLACE,LUBBOCK,TX,79410,"4015 22nd Pl, Lubbock, TX 79410",33.573954,-101.900299,LUBBOCK,8067257960,36
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,AUSTIN,TX,78723,"4900 Mueller Blvd, Austin, TX 78723",30.303505,-97.706219,TRAVIS,5123240101,112
DETAR HEALTHCARE SYSTEM,101 MEDICAL DRIVE,VICTORIA,TX,77904,"101 Medical Dr, Victoria, TX 77904",28.854217,-97.019618,VICTORIA,3615736100,26
DOCTORS HOSPITAL AT RENAISSANCE,5501 SOUTH MCCOLL,EDINBURG,TX,78539,"5501 S McColl Rd, Edinburg, TX 78539",26.252805,-98.204995,HIDALGO,9563627360,25
DRISCOLL CHILDRENS HOSPITAL,3533 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3533 S Alameda St, Corpus Christi, TX 78411",27.74814,-97.384405,NUECES,3616945021,102
EL PASO CHILDRENS HOSPITAL,4845 ALAMEDA AVE,EL PASO,TX,79905,"4845 Alameda Ave, El Paso, TX 79905",31.771259,-106.433843,EL PASO,9152428600,50
HCA HOUSTON HEALTHCARE CLEAR LAKE,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"500 Medical Center Blvd, Webster, TX 77598",29.539812,-95.126216,HARRIS,2813322511,25
HCA HOUSTON HEALTHCARE CONROE,504 MEDICAL CENTER BOULEVARD,CONROE,TX,77304,"504 Medical Center Blvd, Conroe, TX 77304",30.284117,-95.46829,MONTGOMERY,9365391111,21
HEALTHBRIDGE CHILDRENS HOSPITAL-HOUSTON LTD,2929 WOODLAND PARK DRIVE,HOUSTON,TX,77082,"2929 Woodland Park Dr, Houston, TX 77082",29.73249,-95.579303,HARRIS,2812937774,30
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,10
JOHN PETER SMITH HOSPITAL,1500 S MAIN ST,FORT WORTH,TX,76104,"1500 S Main St, Fort Worth, TX 76104",32.726819,-97.328127,TARRANT,8179213431,16
KNAPP MEDICAL CENTER,1401 EAST EIGHTH STREET,WESLACO,TX,78596,"1401 E 8th St, Weslaco, TX 78596",26.152119,-97.97749,HIDALGO,9569688567,32
LAREDO MEDICAL CENTER,1700 EAST SAUNDERS STREET,LAREDO,TX,78041,"1700 E Saunders St, Laredo, TX 78041",27.530851,-99.479962,WEBB,9567965000,29
LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,1801 NORTH OREGON STREET,EL PASO,TX,79902,"1801 N Oregon St, El Paso, TX 79902",31.770037,-106.49823,EL PASO,9155211776,29
MEDICAL CENTER HOSPITAL,500 W 4TH ST,ODESSA,TX,79761,"500 W 4th St, Odessa, TX 79761",31.845373,-102.373391,ECTOR,4326402413,25
MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LN,DALLAS,TX,75230,"7777 Forest Ln, Dallas, TX 75230",32.911775,-96.773229,DALLAS,9725666000,86
MEDICAL CITY PLANO,3901 W 15TH ST,PLANO,TX,75075,"3901 W 15th St, Plano, TX 75075",33.021675,-96.766206,COLLIN,9725191101,18
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,"6411 Fannin St, Houston, TX 77030",29.714052,-95.396173,HARRIS,7137044000,118
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,3
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER ROAD,HOUSTON,TX,77024,"921 Gessner Rd, Houston, TX 77024",29.781137,-95.545763,HARRIS,7139323000,18
METHODIST HOSPITAL,7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7700 Floyd Curl Dr, San Antonio, TX 78229",29.507191,-98.572298,BEXAR,2105754000,89
NORTH CENTRAL BAPTIST HOSPITAL,520 MADISON OAK,SAN ANTONIO,TX,78258,"520 Madison Oak Dr, San Antonio, TX 78258",29.620513,-98.491862,BEXAR,2102974600,58
NORTHWEST TEXAS HOSPITAL,1501 SOUTH COULTER STREET,AMARILLO,TX,79106,"1501 S Coulter St, Amarillo, TX 79106",35.199823,-101.920803,POTTER,8063541000,60
ODESSA REGIONAL MEDICAL CENTER,520 EAST SIXTH STREET,ODESSA,TX,79761,"520 E 6th St, Odessa, TX 79761",31.851086,-102.365556,ECTOR,4325828000,16
SHANNON MEDICAL CENTER,120 E HARRIS AVE,SAN ANGELO,TX,76903,"120 E Harris Ave, San Angelo, TX 76903",31.465082,-100.434641,TOM GREEN,3256536741,23
SOUTH TEXAS HEALTH SYSTEM EDINBURG,1102 WEST TRENTON ROAD,EDINBURG,TX,78539,"1102 W Trenton Rd, Edinburg, TX 78539",26.261293,-98.181844,HIDALGO,9563886000,78
SOUTH TEXAS HEALTH SYSTEM MCALLEN,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,"301 Expwy 83, McAllen, TX 78503",26.186457,-98.225692,HIDALGO,9566324000,22
ST JOSEPH MEDICAL CENTER,1401 ST JOSEPH PARKWAY,HOUSTON,TX,77002,"1401 St Joseph Pkwy, Houston, TX 77002",29.748091,-95.366207,HARRIS,7137565007,31
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,333
TEXAS CHILDRENS HOSPITAL THE WOODLANDS,17600 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,77384,"17600 S I-45, Conroe, TX 77384",30.200999,-95.457618,MONTGOMERY,9362675000,46
TEXAS CHILDRENS HOSPITAL WEST CAMPUS,18200 KATY FREEWAY,HOUSTON,TX,77094,"18200 Katy Fwy, Houston, TX 77094",29.7873,-95.692415,HARRIS,8322271000,64
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LN,DALLAS,TX,75231,"8200 Walnut Hill Ln, Dallas, TX 75231",32.879541,-96.761274,DALLAS,2143456789,16
TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,2222 WELBORN STREET,DALLAS,TX,75219,"2222 Welborn St, Dallas, TX 75219",32.801825,-96.81569,DALLAS,2145595000,100
TEXOMA MEDICAL CENTER,5016 SOUTH US HIGHWAY 75,DENISON,TX,75020,"5016 S US Highway 75, Denison, TX 75020",33.710009,-96.584679,GRAYSON,9034164000,11
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,2001 NORTH OREGON STREET,EL PASO,TX,79902,"2001 N Oregon St, El Paso, TX 79902",31.771502,-106.499726,EL PASO,9155776011,83
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,"1600 11th St, Wichita Falls, TX 76301",33.902797,-98.500328,WICHITA,9407648313,7
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"4502 Medical Dr, San Antonio, TX 78229",29.508584,-98.578904,BEXAR,2103584000,98
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,25
VALLEY BAPTIST MEDICAL CENTER,2101 PEASE ST,HARLINGEN,TX,78550,"2101 Pease St, Harlingen, TX 78550",26.17459,-97.671586,CAMERON,9563891674,48
VALLEY BAPTIST MEDICAL CENTER - BROWNSVILLE,1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,"W Jefferson St, Brownsville, TX 78520",25.916015,-97.509916,CAMERON,9566985421,17
VALLEY REGIONAL MEDICAL CENTER,100A E ALTON GLOOR BLVD,BROWNSVILLE,TX,78526,"100 E Alton Gloor Blvd, Brownsville, TX 78526",25.980037,-97.497577,CAMERON,9563507000,17
VAN ZANDT REGIONAL HOSPITAL,707 NORTH WALDRIP ST,GRAND SALINE,TX,75140,"707 N Waldrip St, Grand Saline, TX 75140",32.680508,-95.723086,VAN ZANDT,9039136303,4
WADLEY REGIONAL MEDICAL CENTER,1000 PINE,TEXARKANA,TX,75501,"904 Texarkana Ave, Texarkana, TX 75501",33.412317,-94.074189,BOWIE,9037988000,49
