NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,COMP. MED. REHAB BEDS
BAYLOR ST LUKES MEDICAL CENTER - MCNAIR CAMPUS,7200 CAMBRIDGE STREET,HOUSTON,TX,77030,"7200 Cambridge St, Houston, TX 77030",29.699054,-95.393839,HARRIS,8323541000,30
BSA HOSPITAL LLC,1600 WALLACE BLVD,AMARILLO,TX,79106,"1600 Wallace Blvd, Amarillo, TX 79106",35.196207,-101.919999,POTTER,8062122000,24
CARRUS REHABILITATION HOSPITAL,1810 WEST HIGHWAY 82 STE 100,SHERMAN,TX,75092,"1810 W Hwy 82, Ste 100, Sherman, TX 75092",33.66982,-96.634834,GRAYSON,9038702600,24
CECIL R BOMAR REHABILITATION CENTER,707 WOODS STREET,NACOGDOCHES,TX,75961,"707 Woods St, Nacogdoches, TX 75961",31.611982,-94.646564,NACOGDOCHES,9365688488,21
CENTRAL TEXAS REHABILITATION HOSPITAL,700 W 45TH STREET,AUSTIN,TX,78751,"700 W 45th St, Austin, TX 78751",30.312232,-97.734599,TRAVIS,5124072111,50
"CHI ST JOSEPH HEALTH REHAB HOSP, AFFILIATE OF ENCOMPASS HEALTH",1600 JOSEPH DRIVE SUITE 2000,BRYAN,TX,77802,"1600 Joseph Dr, Ste 2000, Bryan, TX 77802",30.658706,-96.352494,BRAZOS,9792134300,61
CHI ST LUKES HEALTH - BRAZOSPORT,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,"100 Medical Dr, Lake Jackson, TX 77566",29.03185,-95.452534,BRAZORIA,9792974411,14
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,6720 BERTNER,HOUSTON,TX,77030,"6720 Bertner Ave, Houston, TX 77030",29.708712,-95.399962,HARRIS,7137858537,24
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,17
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,26
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - MARSHALL,811 SOUTH WASHINGTON,MARSHALL,TX,75670,"811 S Washington Ave, Marshall, TX 75670",32.536564,-94.367794,HARRISON,9039276000,10
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75482,"115 Airport Rd, Sulphur Springs, TX 75482",33.157301,-95.599927,HOPKINS,9034394052,10
CHRISTUS SOUTHEAST TEXAS - JASPER MEMORIAL,1275 MARVIN HANCOCK DR,JASPER,TX,75951,"1275 Marvin Hancock Dr, Jasper, TX 75951",30.907546,-94.008358,JASPER,4093845461,10
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,"608 Elizabeth Ave, Kingsville, TX 78363",27.500942,-97.861277,NUECES,3618813148,57
CHRISTUS ST MICHAEL REHABILITATION HOSPITAL,2400 ST MICHAEL DR,TEXARKANA,TX,75503,"2400 St Michael Dr, Texarkana, TX 75503",33.465181,-94.071035,BOWIE,9036144000,50
"CHRISTUS TRINITY MOTHER FRANCES REHAB HOSP, PARTNER OF ENCOMPASS",3131 TROUP HIGHWAY,TYLER,TX,75701,"3131 Troup Hwy, Tyler, TX 75701",32.315184,-95.277536,SMITH,9035107000,94
CLEARSKY REHABILITATION HOSPITAL OF FLOWER MOUND,3100 PETERS COLONY ROAD,FLOWER MOUND,TX,75022,"3100 Peters Colony Rd, Flower Mound, TX 75022",33.035521,-97.077254,DENTON,4699332855,41
COOK CHILDRENS MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,"801 7th Ave, Fort Worth, TX 76104",32.736976,-97.341846,TARRANT,6828854326,10
CORNERSTONE SPECIALTY HOSPITALS ROUND ROCK,4681 COLLEGE PARK DRIVE,ROUND ROCK,TX,78665,"4681 College Park Dr, Round Rock, TX 78665",30.566759,-97.657752,WILLIAMSON,5126711100,12
CORPUS CHRISTI MEDICAL CENTER DOCTORS REGIONAL,3315 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3315 S Alameda St, Corpus Christi, TX 78411",27.754109,-97.38838,NUECES,3617611400,15
CORPUS CHRISTI REHABILITATION HOSPITAL,5726 ESPLANADE DRIVE,CORPUS CHRISTI,TX,78414,"5726 Esplanade Dr, Corpus Christi, TX 78414",27.689722,-97.380562,NUECES,3619063700,35
DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,10301 GATEWAY BOULEVARD WEST,EL PASO,TX,79925,"10301 Gateway Blvd W, El Paso, TX 79925",31.756644,-106.351462,EL PASO,9155959000,32
DETAR HEALTHCARE SYSTEM,506 EAST SAN ANTONIO STREET,VICTORIA,TX,77901,"506 E San Antonio St, Victoria, TX 77901",28.808086,-96.998618,VICTORIA,3615757441,12
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ABILENE,6401 DIRECTORS PARKWAY,ABILENE,TX,79606,"6401 Directors Pw, Abilene, TX 79606",32.371449,-99.744932,TAYLOR,3256911600,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ARLINGTON,3200 MATLOCK ROAD,ARLINGTON,TX,76015,"3200 Matlock Rd, Arlington, TX 76015",32.69368,-97.11782,TARRANT,8174684000,85
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF AUSTIN,330 WEST BEN WHITE BLVD,AUSTIN,TX,78704,"330 W Ben White Blvd, Austin, TX 78704",30.223517,-97.765449,TRAVIS,5127304800,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CITY VIEW,6701 OAKMONT BOULEVARD,FORT WORTH,TX,76132,"6701 Oakmont Blvd, Fort Worth, TX 76132",32.662023,-97.4128,TARRANT,8173704700,77
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CYPRESS,13031 WORTHAM CENTER DRIVE,HOUSTON,TX,77065,"13103 Wortham Brook Ln, Houston, TX 77065",29.935414,-95.617372,HARRIS,8322802500,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DALLAS,7930 NORTHAVEN ROAD,DALLAS,TX,75230,"7930 Northaven Rd, Dallas, TX 75230",32.900967,-96.770528,DALLAS,2147068200,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HUMBLE,19002 MCKAY DRIVE,HUMBLE,TX,77338,"19002 McKay Blvd, Humble, TX 77338",29.99317,-95.277488,HARRIS,2814466148,90
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF KATY,23331 GRAND RESERVE DRIVE,KATY,TX,77494,"23331 Grand Springs Dr, Katy, TX 77494",29.751373,-95.775044,HARRIS,2815053500,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDLAND ODESSA,1800 HERITAGE BOULEVARD,MIDLAND,TX,79707,"1800 Heritage Blvd, Midland, TX 79707",31.999611,-102.156184,MIDLAND,4325201600,80
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PEARLAND,2121 BUSINESS CENTER DRIVE,PEARLAND,TX,77584,"2121 Business Center Dr, Pearland, TX 77584",29.57291,-95.390087,BRAZORIA,3469073000,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PLANO,2800 WEST 15TH STREET,PLANO,TX,75075,"2800 W 15th St, Plano, TX 75075",33.018369,-96.748328,COLLIN,9726129000,83
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF RICHARDSON,3351 WATERVIEW PARKWAY,RICHARDSON,TX,75080,"3351 Waterview Pkwy, Richardson, TX 75080",32.997694,-96.755057,COLLIN,9723985700,50
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROUND ROCK,1400 HESTERS CROSSING,ROUND ROCK,TX,78681,"1400 Hesters Crossing Rd, Round Rock, TX 78681",30.483447,-97.693387,WILLIAMSON,5122444400,75
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SAN ANTONIO,9119 CINNAMON HILL,SAN ANTONIO,TX,78240,"9119 Cinnamon Hl, San Antonio, TX 78240",29.52718,-98.584183,BEXAR,2106910737,108
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUGAR LAND,1325 HIGHWAY 6,SUGAR LAND,TX,77478,"1325 Highway 6, Sugar Land, TX 77478",29.604373,-95.633122,FORT BEND,2812767574,50
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TEXARKANA,515 WEST 12TH STREET,TEXARKANA,TX,75501,"515 W 12th St, Texarkana, TX 75501",33.430168,-94.048083,BOWIE,9037355000,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF THE MID-CITIES,2304 STATE HIGHWAY 121,BEDFORD,TX,76021,"2304 State Hwy 121, Bedford, TX 76021",32.845697,-97.113277,TARRANT,8176842000,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF THE WOODLANDS,18550 IH 45 SOUTH,SHENANDOAH,TX,77384,"18550 I-45 S, Shenandoah, TX 77384",30.185814,-95.454452,MONTGOMERY,2813642000,84
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF WACO,3600 SOUTH LOOP 340 HIGHWAY,ROBINSON,TX,76706,"3600 S Loop 340 Hwy, Robinson, TX 76706",31.495926,-97.128808,MCLENNAN,2545232200,40
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF WICHITA FALLS,3901 ARMORY ROAD,WICHITA FALLS,TX,76302,"3901 Armory Rd, Wichita Falls, TX 76302",33.874958,-98.4856,WICHITA,9407205700,63
ENCOMPASS HEALTH REHABILITATION HOSPITAL THE VINTAGE,20180 CHASEWOOD PARK DRIVE,HOUSTON,TX,77070,"20180 Chasewood Park Dr, Houston, TX 77070",29.990079,-95.570976,HARRIS,2812055100,60
ENCOMPASS HEALTH REHABILITATION HOSPITAL VISION PARK,117 VISION PARK BLVD,SHENANDOAH,TX,77384,"117 Vision Park Blvd, Shenandoah, TX 77384",30.190217,-95.458398,MONTGOMERY,9364441700,60
EVEREST REHABILITATION HOSPITAL EL PASO,2230 JOE BATTLE BLVD,EL PASO,TX,79938,"2230 Joe Battle Blvd, El Paso, TX 79938",31.762668,-106.268411,EL PASO,9159106041,36
EVEREST REHABILITATION HOSPITAL LONGVIEW,701 E LOOP 281,LONGVIEW,TX,75605,"701 E Loop 281, Longview, TX 75605",32.53436,-94.712179,GREGG,4302404600,36
EVEREST REHABILITATION HOSPITAL TEMPLE,23621 SE H K DODGEN LOOP,TEMPLE,TX,76504,"23621 SE H K Dodgen Loop, Temple, TX 76504",31.067304,-97.350982,BELL,2544100555,36
FORT DUNCAN REGIONAL MEDICAL CENTER,3333 NORTH FOSTER MALDONADO,EAGLE PASS,TX,78852,"3333 N Foster Maldonado Blvd, Eagle Pass, TX 78852",28.71316,-100.455385,MAVERICK,8307735321,21
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,"1215 E Court St, Seguin, TX 78155",29.567935,-97.947397,GUADALUPE,8303792411,22
HCA HOUSTON HEALTHCARE CLEAR LAKE,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"500 Medical Center Blvd, Webster, TX 77598",29.539812,-95.126216,HARRIS,2813322511,24
HCA HOUSTON HEALTHCARE CONROE,504 MEDICAL CENTER BOULEVARD,CONROE,TX,77304,"504 Medical Center Blvd, Conroe, TX 77304",30.284117,-95.46829,MONTGOMERY,9365391111,24
HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,"22999 US Highway 59 N, Humble, TX 77339",30.05008,-95.254977,MONTGOMERY,2813488001,35
HCA HOUSTON HEALTHCARE MAINLAND,6801 EMMETT F LOWERY EXPRESSWAY,TEXAS CITY,TX,77591,"6801 Emmett F Lowry Expy, Texas City, TX 77591",29.393783,-94.986295,GALVESTON,4099385000,17
HCA HOUSTON HEALTHCARE NORTHWEST,710 CYPRESS CREEK PARKWAY,HOUSTON,TX,77090,"709 Cypress Station Dr, Houston, TX 77090",30.030067,-95.440495,HARRIS,2814401000,24
HCA HOUSTON HEALTHCARE SOUTHEAST,4000 SPENCER HIGHWAY,PASADENA,TX,77504,"4000 Spencer Hwy, Pasadena, TX 77504",29.661171,-95.183755,HARRIS,7133592000,31
HCA HOUSTON HEALTHCARE TOMBALL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,77375,"605 Holderrieth Blvd, Tomball, TX 77375",30.0874,-95.620728,HARRIS,2814017500,26
HCA HOUSTON HEALTHCARE WEST,12141 RICHMOND AVENUE,HOUSTON,TX,77082,"12141 Richmond Ave, Houston, TX 77082",29.729197,-95.594442,HARRIS,2815583444,20
HEALTHBRIDGE CHILDRENS HOSPITAL-HOUSTON LTD,2929 WOODLAND PARK DRIVE,HOUSTON,TX,77082,"2929 Woodland Park Dr, Houston, TX 77082",29.73249,-95.579303,HARRIS,2812937774,10
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,31
HORIZON MEDICAL CENTER OF DENTON,2813 S MAYHILL RD,DENTON,TX,76208,"2813 S Mayhill Rd, Denton, TX 76208",33.174282,-97.087069,DENTON,9405658580,10
HOUSTON METHODIST CLEAR LAKE HOSPITAL,18300 HOUSTON METHODIST DR,HOUSTON,TX,77058,"Houston, TX 77058",29.571604,-95.099828,HARRIS,2813338865,17
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,33
HUNT REGIONAL HEALTHCARE,4215 JOE RAMSEY BOULEVARD,GREENVILLE,TX,75401,"4215 Joe Ramsey Blvd, Greenville, TX 75401",33.122487,-96.123918,HUNT,9034085000,17
HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,"110 Memorial Hospital Dr, Huntsville, TX 77340",30.698734,-95.558982,WALKER,9362913411,6
KATE DISHMAN REHABILITATION HOSPITAL,2830 CALDER ST 6TH FLOOR SOUTH,BEAUMONT,TX,77702,"2830 Calder Ave, Fl 6, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4092368380,27
KINDRED HOSPITAL DALLAS CENTRAL,8050 MEADOW ROAD,DALLAS,TX,75231,"8050 Meadow Rd, Dallas, TX 75231",32.887126,-96.767638,DALLAS,4692326500,14
KINDRED HOSPITAL HOUSTON MEDICAL CENTER,6441 MAIN STREET,HOUSTON,TX,77030,"6441 Main St, Houston, TX 77030",29.712968,-95.399037,HARRIS,7137900500,11
KINDRED HOSPITAL HOUSTON NW,11297 FALLBROOK DRIVE,HOUSTON,TX,77065,"11297 Fallbrook Dr, Houston, TX 77065",29.924425,-95.588005,HARRIS,2815171000,34
KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,SUGAR LAND,TX,77479,"1550 1 Colony Blvd, Sugar Land, TX 77479",29.600647,-95.63812,FORT BEND,2812756000,11
LAREDO REHABILITATION HOSPITAL,2005 A BUSTAMANTE STREET,LAREDO,TX,78041,"2005 Bustamante St, Laredo, TX 78041",27.533535,-99.473782,WEBB,9567648555,21
LAS PALMAS DEL SOL REHABILITATION HOSPITAL EAST,1395 GEORGE DIETER DRIVE,EL PASO,TX,79936,"1395 George Dieter Dr, El Paso, TX 79936",31.732214,-106.302768,EL PASO,9155959000,41
LAS PALMAS REHABILITATION HOSPITAL A CAMPUS OF LPDS HEALTHCARE,300 WAYMORE,EL PASO,TX,79902,"300 Waymore Dr, El Paso, TX 79902",31.789263,-106.508892,EL PASO,9155772600,31
MEDICAL CITY ARLINGTON,3301 MATLOCK RD,ARLINGTON,TX,76015,"3301 Matlock Rd, Arlington, TX 76015",32.690201,-97.113928,TARRANT,8174653241,16
MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LN,DALLAS,TX,75230,"7777 Forest Ln, Dallas, TX 75230",32.911775,-96.773229,DALLAS,9725666000,51
MEDICAL CITY FORT WORTH,900 EIGHTH AVENUE,FORT WORTH,TX,76104,"900 8th Ave, Fort Worth, TX 76104",32.735903,-97.345153,TARRANT,8173362100,18
MEDICAL CITY LEWISVILLE,500 W MAIN ST,LEWISVILLE,TX,75057,"500 W Main St, Lewisville, TX 75057",33.044381,-97.004532,DENTON,4693702707,18
MEDICAL CITY MCKINNEY,4500 MEDICAL CENTER DR,MCKINNEY,TX,75069,"4500 Medical Center Dr, McKinney, TX 75069",33.159641,-96.636911,COLLIN,9725478001,20
MEDICAL CITY PLANO,3901 W 15TH ST,PLANO,TX,75075,"3901 W 15th St, Plano, TX 75075",33.021675,-96.766206,COLLIN,9725191101,40
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,"6411 Fannin St, Houston, TX 77030",29.714052,-95.396173,HARRIS,7137044000,22
MEMORIAL HERMANN GREATER HEIGHTS HOSPITAL,1635 NORTH LOOP WEST,HOUSTON,TX,77008,"1635 N Loop W, Houston, TX 77008",29.810888,-95.43067,HARRIS,7138672000,17
MEMORIAL HERMANN REHABILITATION HOSPITAL KATY,"21720 KINGSLAND BLVD, SUITE 102",KATY,TX,77450,"21720 Kingsland Blvd, Ste 102, Katy, TX 77450",29.776224,-95.745885,HARRIS,2815795678,35
MEMORIAL HERMANN SOUTHEAST HOSPITAL,11800 ASTORIA BOULEVARD,HOUSTON,TX,77089,"11800 Astoria Blvd, Houston, TX 77089",29.58251,-95.207263,HARRIS,2819296100,14
MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT,HOUSTON,TX,77074,"7600 Beechnut St, Houston, TX 77074",29.692477,-95.521494,HARRIS,7134565000,18
MEMORIAL HERMANN THE WOODLANDS MEDICAL CENTER,9250 PINECROFT,THE WOODLANDS,TX,77380,"9250 Pinecroft Dr, Shenandoah, TX 77380",30.174078,-95.454003,MONTGOMERY,7138972301,29
MESQUITE REHABILITATION INSTITUTE,1023 NORTH BELT LINE ROAD,MESQUITE,TX,75149,"1023 N Belt Line Rd, Mesquite, TX 75149",32.776182,-96.598448,DALLAS,9722162400,30
METHODIST HOSPITAL,7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7700 Floyd Curl Dr, San Antonio, TX 78229",29.507191,-98.572298,BEXAR,2105754000,32
METHODIST HOSPITAL STONE OAK REHABILITATION CENTER,19126 STONEHUE,SAN ANTONIO,TX,78258,"19126 Stonehue, San Antonio, TX 78258",29.628077,-98.492593,BEXAR,2104823000,42
METHODIST REHABILITATION HOSPITAL,3020 WEST WHEATLAND ROAD,DALLAS,TX,75237,"3020 W Wheatland Rd, Dallas, TX 75237",32.646543,-96.870136,DALLAS,9727088600,50
METHODIST SPECIALTY & TRANSPLANT HOSPITAL,8026 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"8026 Floyd Curl Dr, San Antonio, TX 78229",29.513915,-98.576438,BEXAR,2105758110,14
"METHODIST TEXSAN HOSPITAL, A METHODIST HOSPITAL FACILITY",6700 IH-10 WEST,SAN ANTONIO,TX,78201,"6700 I-10 W, San Antonio, TX 78201",29.489745,-98.547459,BEXAR,2107368001,30
METROPOLITAN METHODIST HOSPITAL,1310 MCCULLOUGH AVENUE,SAN ANTONIO,TX,78212,"1310 McCullough Ave, San Antonio, TX 78212",29.441133,-98.491008,BEXAR,2107572200,10
MID-JEFFERSON EXTENDED CARE HOSPITAL OF BEAUMONT,860 SOUTH EIGHTH STREET,BEAUMONT,TX,77701,"860 8th St S, Beaumont, TX 77701",30.069558,-94.125215,JEFFERSON,4097268700,10
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,"900 S Bryan Rd, Mission, TX 78572",26.196411,-98.313817,HIDALGO,9563239103,27
NEW BRAUNFELS REGIONAL REHABILITATION HOSPITAL,2041 SUNDANCE PARKWAY,NEW BRAUNFELS,TX,78130,"2041 Sundance Pkwy, New Braunfels, TX 78130",29.73515,-98.095301,COMAL,8306256700,40
NEXUS SPECIALTY HOSPITAL -THE WOODLANDS LTD-SHENANDOAH CAMPUS,123 VISION PARK BLVD,SHENANDOAH,TX,77384,"123 Vision Park Blvd, Shenandoah, TX 77384",30.188751,-95.459976,MONTGOMERY,2813640317,17
NORTH CENTRAL BAPTIST HOSPITAL,520 MADISON OAK,SAN ANTONIO,TX,78258,"520 Madison Oak Dr, San Antonio, TX 78258",29.620513,-98.491862,BEXAR,2102974600,12
NORTHEAST BAPTIST HOSPITAL,8811 VILLAGE DRIVE,SAN ANTONIO,TX,78217,"8811 Village Dr, San Antonio, TX 78217",29.520442,-98.428742,BEXAR,2102972600,12
NORTHEAST METHODIST HOSPITAL,12412 JUDSON ROAD,SAN ANTONIO,TX,78233,"12412 Judson Rd, Live Oak, TX 78233",29.552277,-98.347883,BEXAR,2107577000,13
NORTHWEST TEXAS HOSPITAL,1501 SOUTH COULTER STREET,AMARILLO,TX,79106,"1501 S Coulter St, Amarillo, TX 79106",35.199823,-101.920803,POTTER,8063541000,15
PALESTINE REGIONAL MEDICAL CENTER,2900 SOUTH LOOP 256,PALESTINE,TX,75801,"2900 S Loop 256, Palestine, TX 75801",31.732762,-95.627274,ANDERSON,9037311184,8
PAM HEALTH REHABILITATION HOSPITAL NORTHEAST SAN ANTONIO,11407 WAYLAND WAY,SAN ANTONIO,TX,78233,"11407 Wayland Way, San Antonio, TX 78233",29.542279,-98.371195,BEXAR,2106401000,40
PAM HEALTH REHABILITATION HOSPITAL OF EL PASO,1600 E CLIFF DRIVE,EL PASO,TX,79902,"1600 E Cliff Dr, El Paso, TX 79902",31.776759,-106.479661,EL PASO,9159758630,30
PAM HEALTH REHABILITATION HOSPITAL OF HOUSTON HEIGHTS,1917 ASHLAND STREET 4TH FLOOR,HOUSTON,TX,77008,"1917 Ashland St, Fl 4, Houston, TX 77008",29.803651,-95.40423,HARRIS,7138149100,34
PAM HEALTH REHABILITATION HOSPITAL OF KATY,19770 KINGSLAND BLVD SUITE 200,HOUSTON,TX,77094,"19770 Kingsland Blvd, Ste 200, Houston, TX 77094",29.777406,-95.713608,HARRIS,2816986600,36
PAM HEALTH REHABILITATION HOSPITAL OF SUGAR LAND,7622 BRANFORD PLACE,SUGAR LAND,TX,77479,"7622 Branford Pl, Sugar Land, TX 77479",29.586928,-95.642909,FORT BEND,2817669002,41
PAM REHABILITATION HOSPITAL OF ALLEN,1001 RAINTREE CIRCLE,ALLEN,TX,75013,"1001 Raintree Cir, Allen, TX 75013",33.11297,-96.676396,COLLIN,9729082000,40
PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 PLAZA 10 BOULEVARD,BEAUMONT,TX,77707,"3340 Plaza 10th Dr, Beaumont, TX 77707",30.077182,-94.137416,JEFFERSON,4098350835,61
PAM REHABILITATION HOSPITAL OF CLEAR LAKE,110 EAST MEDICAL CENTER BOULEVARD,WEBSTER,TX,77598,"110 E Medical Center Blvd, Webster, TX 77598",29.543245,-95.122013,HARRIS,8322249500,45
PAM REHABILITATION HOSPITAL OF CLEAR LAKE - NORTH CAMPUS,655 E MEDICAL CENTER BLVD,WEBSTER,TX,77598,"655 E Medical Center Blvd, Webster, TX 77598",29.547745,-95.117493,HARRIS,2812861500,60
PAM REHABILITATION HOSPITAL OF CORPUS CHRISTI,345 S WATER ST,CORPUS CHRISTI,TX,78401,"345 S Water St, Corpus Christi, TX 78401",27.789854,-97.394953,NUECES,3615000600,40
PAM REHABILITATION HOSPITAL OF HUMBLE,18839 MCKAY BLVD,HUMBLE,TX,77338,"18839 McKay Blvd, Humble, TX 77338",29.990217,-95.278145,HARRIS,2819646600,46
PAM REHABILITATION HOSPITAL OF RICHARDSON,401 W CAMPBELL RD 5TH FLOOR,RICHARDSON,TX,75080,"401 W Campbell Rd, Fl 5, Richardson, TX 75080",32.974164,-96.726424,COLLIN,4698729200,16
PAM REHABILITATION HOSPITAL OF ROUND ROCK,351 SETON PARKWAY,ROUND ROCK,TX,78665,"351 Seton Pkwy, Round Rock, TX 78665",30.563434,-97.648621,WILLIAMSON,7377089800,40
PAM REHABILITATION HOSPITAL OF VICTORIA,101 JAMES COLEMAN DRIVE,VICTORIA,TX,77904,"101 James Coleman Dr, Victoria, TX 77904",28.855844,-97.022638,VICTORIA,3618947830,26
PAM SPECIALTY HOSPITAL OF LULING,200 MEMORIAL DRIVE,LULING,TX,78648,"200 Memorial Dr, Luling, TX 78648",29.674108,-97.654837,CALDWELL,8308758400,17
PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,1445 HANZ DRIVE,NEW BRAUNFELS,TX,78130,"1445 Hanz Dr, New Braunfels, TX 78130",29.729351,-98.102849,COMAL,8306277600,16
PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,VICTORIA,TX,77904,"102 Medical Dr, Victoria, TX 77904",28.854969,-97.021953,VICTORIA,3615766200,11
PARIS REGIONAL MEDICAL CENTER NORTH CAMPUS,865 DESHONG DRIVE,PARIS,TX,75460,"865 Deshong Dr, Paris, TX 75460",33.688124,-95.547096,LAMAR,9037371111,23
