NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,UNIVERSAL CARE BEDS
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,"6411 Fannin St, Houston, TX 77030",29.714052,-95.396173,HARRIS,7137044000,163
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,40
MEMORIAL HERMANN SUGAR LAND HOSPITAL,17500 WEST GRAND PARKWAY SOUTH,SUGAR LAND,TX,77479,"17500 W Grand Pkwy S, Sugar Land, TX 77479",29.564723,-95.690119,FORT BEND,2817255202,8
METHODIST RICHARDSON MEDICAL CENTER,2831 E PRES GEORGE BUSH HWY,RICHARDSON,TX,75082,"Richardson, TX 75082",32.979315,-96.69137,COLLIN,4692042000,25
MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PKWY,MIDLAND,TX,79701,"400 Rosalind Redfern Grover Pkwy, Midland, TX 79701",31.997566,-102.100201,MIDLAND,4322211111,48
ST DAVIDS SOUTH AUSTIN MEDICAL CENTER,901 W BEN WHITE BLVD,AUSTIN,TX,78704,"901 W Ben White Blvd, Austin, TX 78704",30.227468,-97.773479,TRAVIS,5124472211,8
STAT SPECIALTY HOSPITAL,2600 VETERANS BLVD,DEL RIO,TX,78840,"2600 Veterans Blvd, Del Rio, TX 78840",29.399768,-100.905006,VAL VERDE,8304983000,1
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,19
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVE,FORT WORTH,TX,76104,"1301 Pennsylvania Ave, Fort Worth, TX 76104",32.736811,-97.33891,TARRANT,8172502000,144
TEXAS HEALTH HARRIS METHODIST HOSPITAL HURST-EULESS-BEDFORD,1600 HOSPITAL PKWY,BEDFORD,TX,76022,"1600 Hospital Pkwy, Bedford, TX 76022",32.835072,-97.123334,TARRANT,8178484602,18
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,29
USMD HOSPITAL AT ARLINGTON,801 WEST I-20,ARLINGTON,TX,76017,"801 W I-20 I 20, Arlington, TX 76017",32.679522,-97.117876,TARRANT,8174723400,4
WISE HEALTH SURGICAL HOSPITAL,3200 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,"3200 N Tarrant Pkwy, Fort Worth, TX 76177",32.896975,-97.312848,TARRANT,8175027300,2
WISE HEALTH SURGICAL HOSPITAL,7218 CRAWFORD ROAD,ARGYLE,TX,76226,"7218 Crawford Rd, Argyle, TX 76226",33.132024,-97.204805,DENTON,9402932885,2
