NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,ANTEPARTUM BEDS
HARRIS HEALTH SYSTEM BEN TAUB HOSPITAL,1504 TAUB LOOP,HOUSTON,TX,77030,"1504 Taub Loop, Houston, TX 77030",29.712675,-95.393774,HARRIS,3464260478,10
HARRIS HEALTH SYSTEM LYNDON B JOHNSON HOSPITAL,5656 KELLEY STREET,HOUSTON,TX,77026,"5656 Kelley St, Houston, TX 77026",29.811429,-95.310943,HARRIS,3464260478,8
HCA HOUSTON HEALTHCARE CLEAR LAKE,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"500 Medical Center Blvd, Webster, TX 77598",29.539812,-95.126216,HARRIS,2813322511,8
HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,"22999 US Highway 59 N, Humble, TX 77339",30.05008,-95.254977,MONTGOMERY,2813488001,8
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,4
HOUSTON METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FWY,SUGAR LAND,TX,77479,"16655 Southwest Fwy, Sugar Land, TX 77479",29.588964,-95.631127,FORT BEND,2812747000,2
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,5
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,18
MEDICAL CITY ARLINGTON,3301 MATLOCK RD,ARLINGTON,TX,76015,"3301 Matlock Rd, Arlington, TX 76015",32.690201,-97.113928,TARRANT,8174653241,20
MEMORIAL HERMANN CYPRESS HOSPITAL,27800 NORTHWEST FREEWAY,CYPRESS,TX,77433,"27700 Northwest Fwy, Cypress, TX 77433",29.986183,-95.731952,HARRIS,3462314000,8
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,18
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER ROAD,HOUSTON,TX,77024,"921 Gessner Rd, Houston, TX 77024",29.781137,-95.545763,HARRIS,7139323000,16
MEMORIAL HERMANN SUGAR LAND HOSPITAL,17500 WEST GRAND PARKWAY SOUTH,SUGAR LAND,TX,77479,"17500 W Grand Pkwy S, Sugar Land, TX 77479",29.564723,-95.690119,FORT BEND,2817255202,3
METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,"1441 N Beckley Ave, Dallas, TX 75203",32.76156,-96.825026,DALLAS,2149478181,8
MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PKWY,MIDLAND,TX,79701,"400 Rosalind Redfern Grover Pkwy, Midland, TX 79701",31.997566,-102.100201,MIDLAND,4322211111,10
NACOGDOCHES MEMORIAL HOSPITAL,1204 NORTH MOUND STREET,NACOGDOCHES,TX,75961,"1204 N Mound St, Nacogdoches, TX 75961",31.612936,-94.648719,NACOGDOCHES,9365644611,10
NORTH AUSTIN MEDICAL CENTER,12221 MOPAC EXPRESSWAY NORTH,AUSTIN,TX,78758,"N Mo-Pac Expy, Austin, TX 78759",30.376097,-97.738627,TRAVIS,5129012529,26
OAKBEND MEDICAL CENTER,22003 SOUTHWEST FREEWAY,RICHMOND,TX,77469,"22003 Southwest Fwy, Richmond, TX 77469",29.55578,-95.713908,FORT BEND,2813412000,3
ODESSA REGIONAL MEDICAL CENTER,520 EAST SIXTH STREET,ODESSA,TX,79761,"520 E 6th St, Odessa, TX 79761",31.851086,-102.365556,ECTOR,4325828000,6
PARKLAND MEMORIAL HOSPITAL,5200 - 5201 HARRY HINES BOULEVARD,DALLAS,TX,75235,"5201 Harry Hines Blvd, Dallas, TX 75235",32.811035,-96.837839,DALLAS,2145900356,36
ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVENUE,ROUND ROCK,TX,78681,"2400 Round Rock Ave, Round Rock, TX 78681",30.510718,-97.713493,WILLIAMSON,5123411000,3
ST DAVIDS SOUTH AUSTIN MEDICAL CENTER,901 W BEN WHITE BLVD,AUSTIN,TX,78704,"901 W Ben White Blvd, Austin, TX 78704",30.227468,-97.773479,TRAVIS,5124472211,3
ST LUKES SUGAR LAND HOSPITAL,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,77478,"1317 Lake Pointe Pkwy, Sugar Land, TX 77478",29.603754,-95.620268,FORT BEND,2816377000,1
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,22
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRL,FORT WORTH,TX,76244,"10864 Texas Health Trl, Fort Worth, TX 76244",32.897857,-97.314045,TARRANT,6822122000,6
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVE,FORT WORTH,TX,76104,"1301 Pennsylvania Ave, Fort Worth, TX 76104",32.736811,-97.33891,TARRANT,8172502000,23
TEXAS HEALTH HOSPITAL FRISCO,12400 DALLAS PKWY,FRISCO,TX,75033,"12400 Dallas Pkwy, Frisco, TX 75033",33.181516,-96.837082,COLLIN,4694952000,1
TEXAS HEALTH HUGULEY HOSPITAL,11801 SOUTH FREEWAY,BURLESON,TX,76028,"11801 South Fwy, Burleson, TX 76028",32.586584,-97.316183,TARRANT,8172939110,4
THE WOMANS HOSPITAL OF TEXAS,7600 FANNIN STREET,HOUSTON,TX,77054,"7600 Fannin St, Houston, TX 77054",29.693102,-95.402355,HARRIS,7137901234,50
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,"1600 11th St, Wichita Falls, TX 76301",33.902797,-98.500328,WICHITA,9407648313,5
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"4502 Medical Dr, San Antonio, TX 78229",29.508584,-98.578904,BEXAR,2103584000,13
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,10
UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVENUE,EL PASO,TX,79905,"4815 Alameda Ave, El Paso, TX 79905",31.771335,-106.434012,EL PASO,9155441200,8
UT HEALTH EAST TEXAS HENDERSON HOSPITAL,300 WILSON STREET,HENDERSON,TX,75652,"300 Wilson St, Henderson, TX 75652",32.161579,-94.796235,RUSK,9036577541,11
WOMENS HOSPITAL AT RENAISSANCE,5502 SOUTH MC COLL,EDINBURG,TX,78539,"5502 S McColl Rd, Edinburg, TX 78539",26.252768,-98.202966,HIDALGO,9563625601,16
