NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,MED/SURG BEDS
BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR,305 MALLARD LN,TAYLOR,TX,76574,"305 Mallard Ln, Taylor, TX 76574",30.591014,-97.415372,WILLIAMSON,7378883100,25
BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S 31ST ST,TEMPLE,TX,76508,"2401 S 31st St, Temple, TX 76504",31.077709,-97.363854,BELL,2547242111,397
BAYLOR SCOTT & WHITE MEDICAL CENTER - TROPHY CLUB,2850 EAST STATE HWY 114,TROPHY CLUB,TX,76262,"2850 State Hwy 114, Roanoke, TX 76262",32.989084,-97.176016,DENTON,8178374600,20
BAYLOR SCOTT & WHITE MEDICAL CENTER - UPTOWN,2727 EAST LEMMON AVENUE,DALLAS,TX,75204,"2727 E Lemmon Ave, Dallas, TX 75204",32.804401,-96.795152,DALLAS,2144433040,24
BAYLOR SCOTT & WHITE MEDICAL CENTER - WAXAHACHIE,2400 N IH 35 E,WAXAHACHIE,TX,75165,"2400 N I-35 E, Waxahachie, TX 75165",32.427936,-96.858089,ELLIS,4698434000,100
BAYLOR SCOTT & WHITE ORTHOPEDIC AND SPINE HOSPITAL,707 HIGHLANDER BOULEVARD,ARLINGTON,TX,76015,"707 Highlander Blvd, Arlington, TX 76015",32.68292,-97.116973,TARRANT,8175837100,20
BAYLOR SCOTT & WHITE PAVILION - TEMPLE,1815 S 31ST ST,TEMPLE,TX,76504,"1815 S 31st St, Temple, TX 76504",31.082722,-97.362879,BELL,2547244406,2
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL - FORT WORTH,1800 PARK PLACE AVENUE,FORT WORTH,TX,76110,"1800 Park Place Ave, Fort Worth, TX 76110",32.727086,-97.346892,TARRANT,6827035600,25
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL - LAS COLINAS,400 WEST INTERSTATE 635,IRVING,TX,75063,"400 W 635, Irving, TX 75063",32.912495,-96.951871,DALLAS,9728684000,20
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN,3601 N CALAIS STREET,SHERMAN,TX,75090,"3603 N Calais St, Sherman, TX 75090",33.676806,-96.601873,GRAYSON,9038700999,12
BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL,1814 ROSELAND BOULEVARD,TYLER,TX,75701,"1814 Roseland Blvd, Tyler, TX 75701",32.329657,-95.298762,SMITH,9035253300,20
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - DENTON,2801 SOUTH MAYHILL RD,DENTON,TX,76208,"2801 S Mayhill Rd, Denton, TX 76208",33.176491,-97.087354,DENTON,9402200600,13
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - MCKINNEY,5268 W UNIVERSITY DR,MCKINNEY,TX,75071,"5268 W University Dr, McKinney, TX 75071",33.221346,-96.683342,COLLIN,4698143511,2
BAYLOR ST LUKES MEDICAL CENTER - MCNAIR CAMPUS,7200 CAMBRIDGE STREET,HOUSTON,TX,77030,"7200 Cambridge St, Houston, TX 77030",29.699054,-95.393839,HARRIS,8323541000,90
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVENUE,DALLAS,TX,75246,"3500 Gaston Ave, Dallas, TX 75246",32.790908,-96.779474,DALLAS,2148200111,544
BEAUMONT EMERGENCY HOSPITAL,4004 COLLEGE STREET,BEAUMONT,TX,77707,"4004 College St, Beaumont, TX 77707",30.068931,-94.135577,JEFFERSON,4098404004,4
BELLVILLE MEDICAL CENTER,44 NORTH CUMMINGS STREET,BELLVILLE,TX,77418,"44 N Cummings St, Bellville, TX 77418",29.953193,-96.260251,AUSTIN,9794137400,23
BIG BEND REGIONAL MEDICAL CENTER,2600 HIGHWAY 118 NORTH,ALPINE,TX,79830,"2600 N State Highway 118, Alpine, TX 79830",30.384012,-103.67071,BREWSTER,4328373447,23
BROWNFIELD REGIONAL MEDICAL CENTER,705 E FELT ST,BROWNFIELD,TX,79316,"705 E Felt St, Brownfield, TX 79316",33.187643,-102.267155,TERRY,8066373551,36
BRUSHY CREEK FAMILY HOSPITAL LLC,230 DEER RIDGE DR,ROUND ROCK,TX,78681,"230 Deer Ridge Dr, Round Rock, TX 78681",30.496247,-97.722889,WILLIAMSON,5127661400,4
BSA HOSPITAL LLC,1600 WALLACE BLVD,AMARILLO,TX,79106,"1600 Wallace Blvd, Amarillo, TX 79106",35.196207,-101.919999,POTTER,8062122000,315
CAPROCK HOSPITAL,3134 BRIARCREST DR,BRYAN,TX,77802,"3134 Briarcrest Dr, Bryan, TX 77802",30.665735,-96.323901,BRAZOS,9793142323,10
CARROLLTON REGIONAL MEDICAL CENTER,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,"4343 N Josey Ln, Carrollton, TX 75010",33.028804,-96.885247,DENTON,9724921010,112
CARRUS SPECIALTY HOSPITAL,1810 US HWY 82 WEST STE 200,SHERMAN,TX,75092,"1810 W Hwy 82, Ste 200, Sherman, TX 75092",33.66982,-96.634834,GRAYSON,9038702600,20
CEDAR PARK REGIONAL MEDICAL CENTER,1401 MEDICAL PARKWAY,CEDAR PARK,TX,78613,"1401 Medical Pkwy, Cedar Park, TX 78613",30.532424,-97.812177,WILLIAMSON,5125287000,77
CHI ST JOSEPH HEALTH - COLLEGE STATION HOSPITAL,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77845,"1604 Rock Prairie Rd, College Station, TX 77845",30.582589,-96.290119,BRAZOS,9797645100,108
CHI ST JOSEPH HEALTH BURLESON HOSPITAL,1101 WOODSON DRIVE,CALDWELL,TX,77836,"1101 Woodson Dr, Caldwell, TX 77836",30.521002,-96.716843,BURLESON,9795673245,25
CHI ST JOSEPH HEALTH GRIMES HOSPITAL,210 SOUTH JUDSON,NAVASOTA,TX,77868,"210 S Judson Ave, Navasota, TX 77868",30.39299,-96.077201,GRIMES,9368256585,25
CHI ST JOSEPH HEALTH MADISON HOSPITAL,100 WEST CROSS STREET,MADISONVILLE,TX,77864,"100 W Cross St, Madisonville, TX 77864",30.942195,-95.910192,MADISON,9363482631,25
CHI ST LUKES HEALTH - BRAZOSPORT,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,"100 Medical Dr, Lake Jackson, TX 77566",29.03185,-95.452534,BRAZORIA,9792974411,106
CHI ST LUKES HEALTH - MEMORIAL LIVINGSTON,1717 HIGHWAY 59 BYPASS,LIVINGSTON,TX,77351,"1717 US Highway 59th Loop N, Livingston, TX 77351",30.729937,-94.938594,POLK,9363298700,51
CHI ST LUKES HEALTH - SPRINGWOODS VILLAGE,2255 E MOSSY OAKS ROAD,SPRING,TX,77389,"2255 E Mossy Oaks Rd, Spring, TX 77389",30.090607,-95.448989,HARRIS,3463055000,4
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,6720 BERTNER,HOUSTON,TX,77030,"6720 Bertner Ave, Houston, TX 77030",29.708712,-95.399962,HARRIS,7137858537,647
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,172
CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,511 HOSPITAL STREET,SAN AUGUSTINE,TX,75972,"511 Hospital St, San Augustine, TX 75972",31.531565,-94.103153,SAN AUGUSTINE,9362753446,18
CHILDRENS MEDICAL CENTER OF DALLAS,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,"1935 Medical District Dr, Dallas, TX 75235",32.808994,-96.837745,DALLAS,2144568339,24
CHILDRESS REGIONAL MEDICAL CENTER,901 US HIGHWAY 83 N,CHILDRESS,TX,79201,"901 US Hwy 83, Childress, TX 79201",34.439116,-100.226626,CHILDRESS,9409376371,33
CHRISTUS CHILDRENS,333 NORTH SANTA ROSA STREET,SAN ANTONIO,TX,78207,"333 N Santa Rosa St, San Antonio, TX 78207",29.428136,-98.497912,BEXAR,2107042317,313
CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,2830 CALDER STREET 4TH FLOOR,BEAUMONT,TX,77702,"2830 Calder Ave, Fl 4, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4098997680,33
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,287
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - MARSHALL,811 SOUTH WASHINGTON,MARSHALL,TX,75670,"811 S Washington Ave, Marshall, TX 75670",32.536564,-94.367794,HARRISON,9039276000,114
CHRISTUS MOTHER FRANCES HOSPITAL - JACKSONVILLE,2026 SOUTH JACKSON,JACKSONVILLE,TX,75766,"2026 S Jackson St, Jacksonville, TX 75766",31.938716,-95.247921,CHEROKEE,9035414500,25
CHRISTUS MOTHER FRANCES HOSPITAL - SOUTH TYLER,8389 S BROADWAY AVENUE,TYLER,TX,75703,"8389 S Broadway Ave, Tyler, TX 75703",32.257883,-95.308443,SMITH,9036066500,8
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75482,"115 Airport Rd, Sulphur Springs, TX 75482",33.157301,-95.599927,HOPKINS,9034394052,60
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,"800 E Dawson St, Tyler, TX 75701",32.342624,-95.291902,SMITH,9035315400,233
CHRISTUS MOTHER FRANCES HOSPITAL - WINNSBORO,719 WEST COKE ROAD,WINNSBORO,TX,75494,"719 W Coke Rd, Winnsboro, TX 75494",32.947569,-95.30615,WOOD,9033425227,21
CHRISTUS SANTA ROSA HOSPITAL - ALAMO HEIGHTS,403 TREELINE PARK,SAN ANTONIO,TX,78209,"403 Treeline Park, San Antonio, TX 78209",29.50605,-98.476432,BEXAR,2102948000,36
CHRISTUS SANTA ROSA HOSPITAL - MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,"2827 Babcock Rd, San Antonio, TX 78229",29.512267,-98.589251,BEXAR,2107056021,154
CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,600 NORTH UNION AVENUE,NEW BRAUNFELS,TX,78130,"600 N Union Ave, New Braunfels, TX 78130",29.715466,-98.123258,COMAL,8306062170,105
CHRISTUS SANTA ROSA HOSPITAL - SAN MARCOS,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,"1301 Wonder World Dr, San Marcos, TX 78666",29.85279,-97.945825,HAYS,5123538979,118
CHRISTUS SANTA ROSA HOSPITAL - WESTOVER HILLS,11212 STATE HIGHWAY 151,SAN ANTONIO,TX,78251,"11212 State Hwy 151, San Antonio, TX 78251",29.466852,-98.695949,BEXAR,2107038000,138
CHRISTUS SOUTHEAST TEXAS - JASPER MEMORIAL,1275 MARVIN HANCOCK DR,JASPER,TX,75951,"1275 Marvin Hancock Dr, Jasper, TX 75951",30.907546,-94.008358,JASPER,4093845461,39
CHRISTUS SOUTHEAST TEXAS - ST ELIZABETH,2830 CALDER ST,BEAUMONT,TX,77702,"2830 Calder Ave, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4092367107,330
CHRISTUS SOUTHEAST TEXAS ORTHOPEDIC SPECIALTY CENTER,3650 LAUREL ST,BEAUMONT,TX,77707,"3650 Laurel St, Beaumont, TX 77707",30.083285,-94.139992,JEFFERSON,4098380346,6
CHRISTUS SPOHN HOSPITAL ALICE,2500 EAST MAIN STREET,ALICE,TX,78332,"2500 E Main St, Alice, TX 78332",27.764759,-98.044822,JIM WELLS,3616618015,84
CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 EAST HOUSTON HIGHWAY,BEEVILLE,TX,78102,"1500 E Houston St, Beeville, TX 78102",28.407802,-97.73283,BEE,3613542125,52
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,"608 Elizabeth Ave, Kingsville, TX 78363",27.500942,-97.861277,NUECES,3618813148,434
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3619855103,100
CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BOULEVARD,KINGSVILLE,TX,78363,"1311 E General Cavazos Blvd, Kingsville, TX 78363",27.491359,-97.851487,KLEBERG,3615951661,62
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DRIVE,TEXARKANA,TX,75503,"2600 St Michael Dr, Texarkana, TX 75503",33.464014,-94.075579,BOWIE,9036142211,233
CHRISTUS ST MARY OUTPATIENT CENTER MID COUNTY,8801 9TH AVE,PORT ARTHUR,TX,77642,"8801 9th Ave, Port Arthur, TX 77642",29.953611,-93.985221,JEFFERSON,4097243600,2
CHRISTUS ST MICHAEL HOSPITAL - ATLANTA,1007 SOUTH WILLIAM STREET,ATLANTA,TX,75551,"1007 S William St, Atlanta, TX 75551",33.105544,-94.163783,CASS,9037993000,27
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,"2701 Hospital Dr, Victoria, TX 77901",28.81309,-96.977678,VICTORIA,3615739181,209
CLAY COUNTY MEMORIAL HOSPITAL,310 WEST SOUTH STREET,HENRIETTA,TX,76365,"310 W South St, Henrietta, TX 76365",33.814445,-98.198167,CLAY,9405385621,25
CLEVELAND EMERGENCY HOSPITAL,8901 FM 1960 BYPASS RD W SUITE 105,HUMBLE,TX,77338,"8901 Farm To Market Rd 1960 Bypass Rd W, Ste 105, Humble, TX 77338",30.00649,-95.289734,HARRIS,9642812900,4
COCHRAN MEMORIAL HOSPITAL,201 EAST GRANT,MORTON,TX,79346,"201 E Grant Ave, Morton, TX 79346",33.71962,-102.757511,COCHRAN,8062665566,18
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BLVD,SNYDER,TX,79549,"1700 Cogdell Blvd, Snyder, TX 79549",32.688155,-100.917495,SCURRY,3255747437,19
COLEMAN COUNTY MEDICAL CENTER COMPANY,310 SOUTH PECOS STREET,COLEMAN,TX,76834,"310 S Pecos St, Coleman, TX 76834",31.828809,-99.425473,COLEMAN,3256252135,23
COLLINGSWORTH GENERAL HOSPITAL,1013 15TH STREET,WELLINGTON,TX,79095,"1013 15th St, Wellington, TX 79095",34.848788,-100.211681,COLLINGSWORTH,8064472521,13
COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,COLUMBUS,TX,78934,"110 Shult Dr, Columbus, TX 78934",29.694369,-96.54299,COLORADO,9797322371,34
COMANCHE COUNTY MEDICAL CENTER,10201 HIGHWAY 16 NORTH,COMANCHE,TX,76442,"10201 Highway 16, Comanche, TX 76442",31.984446,-98.561938,COMANCHE,2548794900,23
CONCHO COUNTY HOSPITAL,614 EAKER STREET,EDEN,TX,76837,"614 Eaker St, Eden, TX 76837",31.221266,-99.848379,CONCHO,3258695911,16
CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,"499 10th St, Floresville, TX 78114",29.159486,-98.173761,WILSON,8303931303,40
CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,1900 PINE STREET 7TH FLOOR,ABILENE,TX,79601,"1900 Pine St, Fl 7, Abilene, TX 79601",32.472171,-99.733822,TAYLOR,3256706251,23
